"aphiaID","Kingdom","Subkingdom","Infrakingdom","Phylum","Subphylum","Infraphylum","Class","Subclass","Order","Family","Genus","Species","Superorder","Phylum (Division)","Subphylum (Subdivision)","Suborder","Subfamily","Variety","Forma","Subgenus","Superclass","rank"
109548,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae","Peridiniphycidae","Peridiniales","Podolampadaceae","Blepharocysta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
109549,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae","Peridiniphycidae","Peridiniales","Peridiniaceae","Peridinium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
109550,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae","Peridiniphycidae","Peridiniales","Podolampadaceae","Podolampas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
109553,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae","Peridiniphycidae","Peridiniales","Protoperidiniaceae","Protoperidinium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
109555,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae","Peridiniphycidae","Gonyaulacales","Pyrophacaceae","Pyrophacus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
109556,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae","Peridiniphycidae","Peridiniales","Oxytoxaceae","Amphidiniopsis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
109557,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae","Peridiniphycidae","Peridiniales","Oxytoxaceae","Thecadinium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
109559,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae",NA,"Thoracosphaerales","Thoracosphaeraceae","Goniodoma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
109560,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae","Peridiniphycidae","Gonyaulacales","Goniodomataceae","Triadinium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
109561,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae",NA,"Phytodiniales","Phytodiniaceae","Stylodinium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
109564,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae",NA,"Prorocentrales","Prorocentraceae","Mesoporos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
109566,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae",NA,"Prorocentrales","Prorocentraceae","Prorocentrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
109567,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae","Peridiniphycidae","Gonyaulacales","Protoceratiaceae","Protoceratium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
109571,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae","Peridiniphycidae","Gonyaulacales","Pyrocystaceae","Pyrocystis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
109592,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae",NA,"Dinophysales","Amphisoleniaceae","Amphisolenia","Amphisolenia globifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Species"
109603,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae",NA,"Dinophysales","Dinophysaceae","Dinophysis","Dinophysis acuminata",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Species"
109604,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae",NA,"Dinophysales","Dinophysaceae","Dinophysis","Dinophysis acuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Species"
109609,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae",NA,"Dinophysales","Dinophysaceae","Dinophysis","Dinophysis argus",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Species"
109612,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae",NA,"Dinophysales","Dinophysaceae","Dinophysis","Dinophysis caudata",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Species"
109616,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae",NA,"Dinophysales","Dinophysaceae","Dinophysis","Dinophysis dens",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Species"
109624,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae",NA,"Dinophysales","Dinophysaceae","Dinophysis","Dinophysis fortii",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Species"
