"RLABO","SHIPC","CRUIS","STNNO","LATIT","LONGI","POSYS","STATN","SDATE","STIME","WADEP","SMPNO","FINFL","SMVOL","MNDEP","MXDEP","SPECI","TRPHY","STAGE","PARAM","MUNIT","QFLAG","ALABO","METOA","METFP","SLABO","SMTYP","PURPM","MYEAR","DTYPE","RLIST","SIZCL","SIZRF","SFLAG","VALUE","MPROG"
"BAMN","AA31","2003","Astan20031104NA",48.732,-3.968,,"Astan","20031104",,,"RA031104",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2003","PP","ERID",,,,105.691056910569,"CEMP~NATL"
"BAMN","AA31","2003","Astan20031104NA",48.732,-3.968,,"Astan","20031104",,,"RA031104",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2003","PP","ERID",,,,4040.65040650406,"CEMP~NATL"
"BAMN","AA31","2003","Astan20031113NA",48.732,-3.968,,"Astan","20031113",,,"RA031117",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2003","PP","ERID",,,,89.4308943089431,"CEMP~NATL"
"BAMN","AA31","2003","Astan20031113NA",48.732,-3.968,,"Astan","20031113",,,"RA031117",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2003","PP","ERID",,,,3967.47967479675,"CEMP~NATL"
"BAMN","AA31","2003","Astan20031202NA",48.732,-3.968,,"Astan","20031202",,,"RA031202",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2003","PP","ERID",,,,65.0406504065041,"CEMP~NATL"
"BAMN","AA31","2003","Astan20031202NA",48.732,-3.968,,"Astan","20031202",,,"RA031202",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2003","PP","ERID",,,,2471.54471544715,"CEMP~NATL"
"BAMN","AA31","2003","Astan20031217NA",48.732,-3.968,,"Astan","20031217",,,"RA031217",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2003","PP","ERID",,,,44.7154471544715,"CEMP~NATL"
"BAMN","AA31","2003","Astan20031217NA",48.732,-3.968,,"Astan","20031217",,,"RA031217",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2003","PP","ERID",,,,2520.32520325203,"CEMP~NATL"
"BAMN","AA31","2004","Astan20040105NA",48.732,-3.968,,"Astan","20040105",,,"RA040105",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2004","PP","ERID",,,,32.520325203252,"CEMP~NATL"
"BAMN","AA31","2004","Astan20040105NA",48.732,-3.968,,"Astan","20040105",,,"RA040105",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2004","PP","ERID",,,,2772.35772357724,"CEMP~NATL"
"BAMN","AA31","2004","Astan20040127NA",48.732,-3.968,,"Astan","20040127",,,"RA040127",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2004","PP","ERID",,,,48.780487804878,"CEMP~NATL"
"BAMN","AA31","2004","Astan20040127NA",48.732,-3.968,,"Astan","20040127",,,"RA040127",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2004","PP","ERID",,,,2691.05691056911,"CEMP~NATL"
"BAMN","AA31","2004","Astan20040312NA",48.732,-3.968,,"Astan","20040312",,,"RA040312",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2004","PP","ERID",,,,36.5853658536585,"CEMP~NATL"
"BAMN","AA31","2004","Astan20040312NA",48.732,-3.968,,"Astan","20040312",,,"RA040312",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2004","PP","ERID",,,,5825.20325203252,"CEMP~NATL"
"BAMN","AA31","2004","Astan20040414NA",48.732,-3.968,,"Astan","20040414",,,"RA040414",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2004","PP","ERID",,,,101.626016260163,"CEMP~NATL"
"BAMN","AA31","2004","Astan20040414NA",48.732,-3.968,,"Astan","20040414",,,"RA040414",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2004","PP","ERID",,,,1373.9837398374,"CEMP~NATL"
"BAMN","AA31","2004","Astan20040512NA",48.732,-3.968,,"Astan","20040512",,,"RA040512",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2004","PP","ERID",,,,191.056910569106,"CEMP~NATL"
