"RLABO","SHIPC","CRUIS","STNNO","LATIT","LONGI","POSYS","STATN","SDATE","STIME","WADEP","SMPNO","FINFL","SMVOL","MNDEP","MXDEP","SPECI","TRPHY","STAGE","PARAM","MUNIT","ALABO","METOA","METFP","SLABO","SMTYP","PURPM","MYEAR","DTYPE","RLIST","SIZCL","SIZRF","SFLAG","VALUE","MPROG"
"BAMN","AA31","2009","Comprian20090219NA",44.6782,-1.10207,,"Comprian","20090219",,,"Comprian_20090219",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,1181.102362,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20090306NA",44.6782,-1.10207,,"Comprian","20090306",,,"Comprian_20090306",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,24.219591,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20090306NA",44.6782,-1.10207,,"Comprian","20090306",,,"Comprian_20090306",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,417.115178,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20090319NA",44.6782,-1.10207,,"Comprian","20090319",,,"Comprian_20090319",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,58.220128,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20090319NA",44.6782,-1.10207,,"Comprian","20090319",,,"Comprian_20090319",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,3385.084558,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20090403NA",44.6782,-1.10207,,"Comprian","20090403",,,"Comprian_20090403",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,98.425197,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20090403NA",44.6782,-1.10207,,"Comprian","20090403",,,"Comprian_20090403",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,2966.816648,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20090417NA",44.6782,-1.10207,,"Comprian","20090417",,,"Comprian_20090417",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,180.156658,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20090417NA",44.6782,-1.10207,,"Comprian","20090417",,,"Comprian_20090417",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,2691.906005,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20090504NA",44.6782,-1.10207,,"Comprian","20090504",,,"Comprian_20090504",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,120.922385,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20090504NA",44.6782,-1.10207,,"Comprian","20090504",,,"Comprian_20090504",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,2691.226097,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20090519NA",44.6782,-1.10207,,"Comprian","20090519",,,"Comprian_20090519",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,29.601722,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20090519NA",44.6782,-1.10207,,"Comprian","20090519",,,"Comprian_20090519",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,1967.168999,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20090602NA",44.6782,-1.10207,,"Comprian","20090602",,,"Comprian_20090602",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,27.72387,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20090602NA",44.6782,-1.10207,,"Comprian","20090602",,,"Comprian_20090602",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,901.025783,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20090616NA",44.6782,-1.10207,,"Comprian","20090616",,,"Comprian_20090616",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,125.326371,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20090616NA",44.6782,-1.10207,,"Comprian","20090616",,,"Comprian_20090616",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,1775.456919,"CEMP~NATL"
